_id,PrimaryKey,DateAddedtoDataRelease,ProcuringAgencyOrganisation,ProjectName,ProjectShortDescription,ParentProjectID,ProjectStatus,ProcurementMethod,ProjectRegion,ProjectSector,EstimatedProjectValueRange,EstimatedQuarterBusinessCaseStart,EstimatedQuarterBusinessCaseCompletion,EstimatedQuarterProcurementStart,EstimatedQuarterProcurementCompletion,EstimatedQuarterConstructionStart,EstimatedQuarterConstructionCompletion,EstimatedQuarterProjectRangeStart,EstimatedQuarterProjectRangeCompletion,ProjectInfoURL,EstimatedProjectValueNote
253,IP000262,2019-11-07T00:00:00,Palmerston North City Council,Ashhurst Bore to Reservoir Pipe Replacement Project,This project will replace the waterpipe from the Ashhurst bore to the reservoir. The delivery of this horizontal infrastructure will support housing and urban growth.,"",Under Construction,Construct only,Manawatu - Whanganui,Water,< 5 Million,"","","","","","",2019-Q4,2023-Q3,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
254,IP000263,2019-11-07T00:00:00,Palmerston North City Council,Ashhurst Road Improvements Projects,This project includes a number of road upgrades and improvements in Ashhurst including: Wyndham Street upgrade (Cambridge to Oxford); Custom Street improvements; Oxford Street improvements (Wyndham to North Street including Colyton Intersection). These upgrades will be delivered as individual projects.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2021-Q2,2026-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
255,IP000264,2019-11-07T00:00:00,Palmerston North City Council,Ashhurst Wastewater Network Upgrade - North St,This project is responsible for delivering wastewater network upgrades at North Street in Ashhurst. This project will deliver the horizontal infrastructure required to support housing and urban growth.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,< 5 Million,"","","","","","",2019-Q3,2020-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
256,IP000265,2019-11-07T00:00:00,Palmerston North City Council,Ashhurst Water supply upgrade Project,This project aims to upgrade the Ashhurst water supply to address fire fighting shortfalls and to cater for growth.,"",Under Construction,Construct only,Manawatu - Whanganui,Water,< 5 Million,"","","","","","",2019-Q1,2027-Q3,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
257,IP000266,2019-11-07T00:00:00,Palmerston North City Council,Bunnythorpe Community Centre,This project will deliver a new community hall in Bunnythorpe.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Other - Not Specified,< 5 Million,"","","","","","",2019-Q1,2020-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
258,IP000267,2019-11-07T00:00:00,Palmerston North City Council,Bunnythorpe to Kelvin Grove Water Pipeline Project,This project will deliver the construction of a water pipeline from Bunnythorpe into the Kelvin Grove Zone. The delivery of this horizontal infrastructure will support housing and urban growth.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,< 5 Million,"","","","","","",2020-Q3,2023-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
259,IP000268,2019-11-07T00:00:00,Palmerston North City Council,Central Energy Trust Arena Manawatu New Southern Stand Project,This project seeks to deliver a new grandstand and associated facilities at the Central Energy Trust Arena. This project is subject to partial external funding.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Other - Not Specified,5 - 25 Million,"","","","","","",2019-Q3,2022-Q4,https://www.pncc.govt.nz/council-city/what-were-doing/major-capital-projects/central-energy-trust-arena-upgrade/,""
260,IP000269,2019-11-07T00:00:00,Palmerston North City Council,Central Energy Trust Arena Manawatu Priority 2 Projects,This project looks to complete Masterplan Priority 2 Projects at the Central Energy Trust Arena. This project includes embankment remodelling; new facilities; and other investments in the Central Energy Trust Arena.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Other - Not Specified,5 - 25 Million,"","","","","","",2019-Q3,2024-Q4,https://www.pncc.govt.nz/council-city/what-were-doing/major-capital-projects/central-energy-trust-arena-upgrade/,""
261,IP000270,2019-11-07T00:00:00,Palmerston North City Council,Central Energy Trust Arena Manawatu Priority 3 Projects,This project looks to complete Masterplan Priority 3 Projects at the Central Energy Trust Arena. This project includes embankment remodelling; new facilities; and other investments in the Central Energy Trust Arena.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Other - Not Specified,5 - 25 Million,"","","","","","",2019-Q3,2022-Q4,https://www.pncc.govt.nz/council-city/what-were-doing/major-capital-projects/central-energy-trust-arena-upgrade/,""
262,IP000271,2019-11-07T00:00:00,Palmerston North City Council,Central Energy Trust Arena Renewal and Replacements Project,This project includes a number of distinctive replacements and renewal projects at the Central Energy Trust Arena including: replacement of equipment; combined asset refurbishment; and the replacement of the Arena big screen.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Other - Not Specified,5 - 25 Million,"","","","","","",2019-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/major-capital-projects/central-energy-trust-arena-upgrade/,""
263,IP000272,2019-11-07T00:00:00,Palmerston North City Council,Cultural Facilities Redevelopment Project,This project includes the replacement of structures; internal fit out and services of council owned cultural facilities. This project will be delivered over the next ten years.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Other - Not Specified,5 - 25 Million,"","","","","","",2019-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
264,IP000273,2019-11-07T00:00:00,Palmerston North City Council,Cycle and Pedestrian Pathway - Palmerston North to Bunnythorpe,This project will improve pedestrian and cycling linkages across the Manawatu River; Victoria Esplanade; and other amenity areas.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2020-Q3,2022-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
265,IP000274,2019-11-07T00:00:00,Palmerston North City Council,North East Industrial Zone Water Supply Systems Installation Project - Palmerston North,The purpose of this project is to develop the required water supply systems and associated horizontal infrastructure to enable and support urban growth in the North East Industrial Zone in Palmerston North.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,< 5 Million,"","","","","","",2019-Q2,2028-Q4,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
266,IP000275,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Active and Public Transport Projects,This project is comprised of a number of citywide projects including: new cycle stands and shelters; bus stop improvements; street seats; and cycle phases at intersections. These projects are expected to be implemented over the next 10 years. It is anticipated these projects will be procured in bundled packages.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2019-Q2,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
267,IP000276,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Additional Cycle Lane Development Project,The purpose of this project is to develop additional cycle lanes across the city over the next ten years.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2019-Q2,2025-Q4,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
268,IP000277,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Additional Social Housing Unit Development,This project aims to deliver additional Social Housing Units across the city over the next ten years.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Housing,< 5 Million,"","","","","","",2020-Q3,2025-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
269,IP000278,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Albert Street Water Supply Pipeline Development,This project will deliver the construction of a new water supply pipeline at Albert Street (Te Awe Awe Street to Featherston Street). The delivery of this horizontal infrastructure will support housing and urban growth.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,< 5 Million,"","","","","","",2019-Q3,2023-Q3,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
270,IP000279,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Alderson Drive to Richardson Line Link,This project aims to deliver the Alderson Drive to Richardson Line link to support industrial growth in the North East Industrial Zone in Palmerston North.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2022-Q3,2025-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
271,IP000280,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Aokautere Drive Pedestrian and Cycle Improvements,This project will deliver pedestrian and cycle improvements along Aokautere Drive. This project will improve pedestrian and cycling linkages across the Manawatu River; Victoria Esplanade; and other amenity areas.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2019-Q2,2022-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
272,IP000281,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Campbells Road Bridge Renewal,This project will renew and upgrade the bridge at Campbells Road in Palmerston North.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2020-Q3,2021-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
273,IP000282,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Central Library Upgrade,This project aims to deliver upgrades to the Palmerston North Central Library. Note this project is separate to the replacement of furniture and fittings and interior design renewals project the Council is also delivering at the Central Library.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Other - Not Specified,5 - 25 Million,"","","","","","",2020-Q3,2023-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/major-capital-projects/upgrading-the-central-library/,""
274,IP000283,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North City Centre Laneways Programme,This project will improve pedestrian and cycling linkages across the Manawatu River; Victoria Esplanade and other amenity areas.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2019-Q2,2024-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
275,IP000284,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North City Centre Streetscape Plan Projects,This project encompasses a number of distinctive streetscaping projects in the following areas: Square West; Main Street East (Bus Terminal & canopies); Square East (Plaza to ANZ); Church Street; Square North; Rangitiki Street; Broadway; Inner Square; and Rangitiki to George Street Stage 2. These improvements will be delivered over the next ten years. These streetscape projects will likely be procured as individual works.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,25 - 50 Million,"","","","","","",2019-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/major-capital-projects/streets-for-people/,""
276,IP000285,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North City Council Central and Community Library Renewal Projects,This project includes a number of small distinctive renewal projects for central and community libraries including: Central Library replacement of furniture and fittings; replacement and purchase of library materials for the City Library; Central Library interior design renewals; interior design of Community Libraries including Youth Space and the Mobile Library. Ashhurst and Te Patikitiki Community Library renewals are to be completed over the next ten years.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Other - Not Specified,5 - 25 Million,"","","","","","",2019-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
277,IP000286,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North City Council Swimming Pool Asset Renewals and Replacements Project,This project includes a number of distinctive replacements and renewal projects at swimming pools including the Lido and Freyberg Community pools. These projects are to be delivered over the next ten years. These projects may be procured as discrete or bundled packages. This also includes Ashhurst Community Pool.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Other - Not Specified,5 - 25 Million,"","","","","","",2019-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
278,IP000287,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North City West Internal Roads Project,This project aims to deliver the required horizontal infrastructure in Palmerston North City West to meet urban growth.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,5 - 25 Million,"","","","","","",2020-Q3,2045-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
279,IP000288,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Citywide Community Housing Refurbishments,This project aims to deliver a number of small distinctive social housing refurbishment projects each to be completed across the next ten years. These projects will likely be procured in discrete packages.,"",Business Case / Investment Case Development,Other,Manawatu - Whanganui,Housing,5 - 25 Million,"","","","","","",2019-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
280,IP000289,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Community Centre Refurbishment Projects,This project is comprised of a number of small distinctive community centre refurbishment projects. These projects are expected to occur in stages over the period of the next ten years. It is anticipated these projects will be procured in bundled packages.,"",Business Case / Investment Case Development,Other,Manawatu - Whanganui,Other - Not Specified,< 5 Million,"","","","","","",2019-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
281,IP000290,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Dittmer Drive and Buick Crescent Surface Upgrades,This project will deliver upgrades to shared paths and permanent surfaces and will also deliver a new bridge at Dittmer Drive and Buick Crescent. These upgrades will improve pedestrian and cycling linkages across the Manawatu River; Victoria Esplanade; and other amenity areas.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2019-Q2,2020-Q4,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
282,IP000291,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Downstream Wastewater Network Upgrade,This project aims to upgrade the downstream wastewater network at McGregor Street to Rennie Avenue and Peters Avenue. This upgrade will deliver the required horizontal infrastructure to support housing and urban growth.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,< 5 Million,"","","","","","",2024-Q3,2025-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
283,IP000292,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Ferguson Street Road Widening and Traffic Signal Installation,This project includes road widening and traffic signal installation on Ferguson Street between Linton Street and Pitt Street.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2020-Q3,2021-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
284,IP000293,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Footpath and Walkway Projects,This project includes a number of distinctive projects including: Napier Road to Roberts Line to Buba footpath link; City Loop Walkways and Shared Paths; and Wayfinding signage CBD area for key public institutions.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2019-Q2,2021-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
285,IP000294,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Footpath Extension Project,This project is comprised of a number of small citywide footpath extension projects aimed to be implemented over the next ten years and expected to be procured in bundled packages.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2019-Q2,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
286,IP000295,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Footpath Renewals and Replacement Projects,This project is comprised of a number of city-wide footpath renewals and replacement projects. These renewal and replacement projects are expected to occur over the next ten years. These may be procured in bundles.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,5 - 25 Million,"","","","","","",2019-Q2,2028-Q4,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
287,IP000296,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Groundwater Bore Renewal Project,This project involves the replacement of a number of groundwater bores across Palmerston North. This initiative is expected to occur in stages over the course of ten years. It is anticipated these projects will be procured in bundled packages.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,< 5 Million,"","","","","","",2021-Q3,2028-Q4,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
288,IP000297,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Horizontal Water Supply Infrastructure Subdivision Contribution Projects,The purpose of this project is to develop the required horizontal water supply infrastructure to enable and support urban growth and housing in Palmerston North.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,< 5 Million,"","","","","","",2019-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
289,IP000298,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Kelvin Grove Community Hub Project,This project will deliver a new community centre and community hub fitout for Kelvin Grove community facilities.,"",Business Case / Investment Case Development,Design and construct,Manawatu - Whanganui,Other - Not Specified,5 - 25 Million,"","","","","","",2023-Q3,2024-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
290,IP000299,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Longburn Rongotea Road Safety Upgrades,This project will improve the safety of the Longburn Rongotea Road and No.1 Line intersection through roading upgrades.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2019-Q3,2023-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
291,IP000300,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Massey and Research Institutes Access Routes Development,This project will deliver access routes to the new food research institute (Food Head Quarters) to be located on the Massey University campus. This project is subject to partial external funding.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,5 - 25 Million,"","","","","","",2019-Q2,2025-Q4,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
292,IP000301,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Minor Road Safety Improvement Project,This project will deliver a number of distinctive road safety improvements across the city and is to be delivered in stages over the next ten years.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,5 - 25 Million,"","","","","","",2018-Q2,2028-Q4,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
293,IP000302,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Monrad and Pencarrow Intersection Safety Upgrade,This project will improve the safety of the Monrad Street and Pencarrow Street intersection by installing a roundabout.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2019-Q3,2020-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
294,IP000303,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Napier Road Intersection Safety Upgrade,This project will deliver intersection safety upgrades at Napier Road (State Highway 3) and Roberts Line.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2023-Q3,2024-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
295,IP000304,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North New Water Supply Pipeline Construction Project,This project includes the construction of a new water supply pipeline at College Street (Botanical Road to Maxwells Line). This project will enable the needed horizontal infrastructure to support housing and urban growth in Palmerston North.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,< 5 Million,"","","","","","",2022-Q3,2025-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
296,IP000305,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North New Water Supply Reservoirs Project,This project aims to deliver the required water supply infrastructure to support housing and urban growth and increase the sustainability of the City's water storage facilities. This project will replace an earthquake prone reservoir and enhance supply storage throughout the city.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,5 - 25 Million,"","","","","","",2019-Q3,2027-Q4,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
297,IP000306,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North North East Industrial Park Stormwater Project,This project aims to deliver the required stormwater horizontal infrastructure required to support housing and urban growth within Palmerston North.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,< 5 Million,"","","","","","",2019-Q3,2025-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
298,IP000307,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Papaioea Social Housing Project - Stage 1,This project will deliver the first stage of social housing redevelopment at Papaioea.,"",Under Construction,Design and construct,Manawatu - Whanganui,Housing,< 5 Million,"","","","","","",2019-Q1,2020-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
299,IP000308,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Papaioea Social Housing Project - Stage 2,This project is stage two of the social housing redevelopment in Papaioea.,"",Business Case / Investment Case Development,Design and construct,Manawatu - Whanganui,Housing,< 5 Million,"","","","","","",2019-Q3,2021-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
300,IP000309,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Park Road Intersection Upgrade,This project will upgrade the intersection at Park Road and Cook Street in Palmerston North.,"",Business Case / Investment Case Development,Design and construct,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2019-Q3,2021-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
301,IP000310,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Park Road Pedestrian and Cycle Improvements,This project will deliver cycle and pedestrian improvements at Park Road (from Fitzherbert Avenue to Katene Street). This project will also improve pedestrian and cycling linkages across the Manawatu River; Victoria Esplanade; and other amenity areas.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2020-Q3,2021-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
302,IP000311,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Public Toilet Construction Project,This project is comprised of a number of small distinctive public toilet projects expected to be implemented each year throughout the Palmerston North ten year plan. It is anticipated these projects will be procured in bundled packages.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Other - Not Specified,< 5 Million,"","","","","","",2019-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
303,IP000312,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Richardson Intersection Upgrade,This project will upgrade the Roberts/Richardson intersection at the North East Industrial Zone to support industrial growth.,"",Under Construction,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2018-Q3,2020-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
304,IP000313,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Richardson Line Upgrade,This project will upgrade the Richardson Line at the North East Industrial Zone to support industrial growth.,"",Under Construction,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2018-Q3,2020-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
305,IP000314,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Road Drainage Projects,This project is comprised of a number of small road drainage projects. These projects are expected to be implemented over the next 10 years. It is anticipated these projects will be procured in bundled packages.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2019-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
306,IP000315,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Rural Unsealed Road Seal Extension Programme,This project is comprised of a number of small rural road seal extension projects. These projects are anticipating completion over the next 10 years. It is likely these projects will be procured as a single lumpsum package.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,5 - 25 Million,"","","","","","",2018-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
307,IP000316,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Sealed Pavement Renewals,This project includes a number of small pavement rehabilitation projects and are expected to be delivered throughout the Council's ten year plan. These projects are expected to be contracted in bundles (under New Zealand Transport Agency Work Category 214).,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,5 - 25 Million,"","","","","","",2019-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
308,IP000317,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Sealed Road Resurfacing,This project includes a number of small sealed road resurfacing projects and are expected to be delivered throughout the Councils ten year plan. These projects are expected to be contracted in bundles (under New Zealand Transport Agency Work Category 212).,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,5 - 25 Million,"","","","","","",2019-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
309,IP000318,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Shared Path Connection Project,The Shared Path Connection Project will deliver shared path connections from Riverside Drive to Railway Road in Palmerston North. This project will improve pedestrian and cycling linkages across the Manawatu River; Victoria Esplanade; and other amenity areas.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2019-Q2,2023-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
310,IP000319,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Shared Paths Resilience Improvements Project,This project aims to improve pedestrian and cycling linkages across the Manawatu River; Victoria Esplanade and other amenity areas by redeveloping limestone paths to concrete in flood prone areas.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2019-Q2,2028-Q3,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
311,IP000320,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North State Highway 3 Intersection Widening Project,This project involves the widening of the Rangitikei Street (State Highway 3) and Featherstone Street Intersection.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2022-Q2,2027-Q3,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
312,IP000321,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North State Highway 3 Shared Cycle and Pedestrian Improvements,The purpose of this project is to improve pedestrian and cycling linkages on the Whakarongo to Napier Road (State Highway 3).,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2021-Q3,2025-Q4,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
313,IP000322,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Stoney Creek School Safety Upgrade,This project will deliver safety upgrades and improvements to pedestrian and road access in the area around Stoney Creek School.,"",Under Construction,Construct only,Manawatu - Whanganui,Transport,< 5 Million,"","","","","","",2019-Q1,2020-Q3,https://www.pncc.govt.nz/council-city/what-were-doing/major-capital-projects/stoney-creek-road-upgrade/,""
314,IP000323,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Stormwater Improvement Works,This project includes a number of citywide stormwater improvement projects aimed to be implemented throughout the next ten years. It is anticipated these projects will be procured in bundled packages.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,< 5 Million,"","","","","","",2019-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
315,IP000324,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Stormwater Pump Station Project,This project consists of several stormwater pump installations which will be installed every alternate year over the next ten years.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,< 5 Million,"","","","","","",2019-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
316,IP000325,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Stormwater Renewal Works,This project includes a number of citywide stormwater renewal improvement projects aimed to be implemented throughout the next ten years. It is anticipated these projects will be procured in bundled packages.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,5 - 25 Million,"","","","","","",2019-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
317,IP000326,2019-11-07T00:00:00,Palmerston North City Council,Palmerston North Stormwater Subdivision Contribution Projects,The purpose of this project is to develop the required horizontal stormwater infrastructure to enable and support urban growth and housing in Palmerston North.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,< 5 Million,"","","","","","",2019-Q3,2028-Q2,https://www.pncc.govt.nz/council-city/what-were-doing/infrastructure/,""
